=== FOREIGN KEY RELATIONSHIPS ===
          table_name          |        column_name        |     foreign_table     | foreign_column 
 Items                        | ManufacturerId            | Manufacturers         | Id
 Items                        | PrimaryVendorId           | Vendors               | Id
 JournalEntries               | BookId                    | Books                 | Id
 JournalLines                 | JournalEntryId            | JournalEntries        | Id
 KitItems                     | ItemId                    | Items                 | Id
 KitItems                     | KitId                     | Kits                  | Id
 Kits                         | CategoryId                | ItemCategories        | Id
 Kits                         | CompanyId                 | Companies             | Id
 LaborRates                   | CraftId                   | Crafts                | Id
 LaborRates                   | SkillId                   | Skills                | Id
 LessonsLearned               | AssetCategoryId           | AssetCategories       | Id
 LessonsLearned               | CompanyId                 | Companies             | Id
 LessonsLearned               | SiteId                    | Sites                 | Id
 LessonsLearned               | SourceWorkOrderId         | MaintenanceEvents     | Id
 Locations                    | CompanyId                 | Companies             | Id
 Locations                    | CostCenterId              | CostCenters           | Id
 Locations                    | ParentLocationId          | Locations             | Id
 Locations                    | SiteId                    | Sites                 | Id
 MaintenanceEvents            | ApprovedById              | Users                 | Id
 MaintenanceEvents            | AssetId                   | Assets                | Id
 MaintenanceEvents            | RequestedById             | Users                 | Id
 MaintenanceEvents            | TechnicianId              | Technicians           | Id
 MaintenanceSchedules         | AssetId                   | Assets                | Id
 Manufacturers                | TenantId                  | Tenants               | Id
 MeterReadings                | AssetId                   | Assets                | Id
 MeterReadings                | CompanyId                 | Companies             | Id
 OutboxEvents                 | CompanyId                 | Companies             | Id
 OutboxEvents                 | SiteId                    | Sites                 | Id
 OutboxEvents                 | TenantId                  | Tenants               | Id
 PMOccurrences                | CompanyId                 | Companies             | Id
 PMOccurrences                | PMScheduleId              | PMSchedules           | Id
 PMOccurrences                | PMTemplateId              | PMTemplates           | Id
 PMOccurrences                | SiteId                    | Sites                 | Id
 PMOccurrences                | WorkOrderId               | MaintenanceEvents     | Id
 PMSchedules                  | CompanyId                 | Companies             | Id
 PMSchedules                  | PMTemplateId              | PMTemplates           | Id
 PMSchedules                  | SiteId                    | Sites                 | Id
 PMTemplateAssets             | AssetId                   | Assets                | Id
 PMTemplateAssets             | PMTemplateId              | PMTemplates           | Id
 PMTemplateItems              | ItemId                    | Items                 | Id
 PMTemplateItems              | PMTemplateId              | PMTemplates           | Id
 PMTemplateRevisionOperations | PMTemplateRevisionId      | PMTemplateRevisions   | Id
 PMTemplateRevisions          | PMTemplateId              | PMTemplates           | Id
 PMTemplateRevisions          | SupersedesRevisionId      | PMTemplateRevisions   | Id
 PMTemplates                  | AssetCategoryId           | AssetCategories       | Id
 PMTemplates                  | CompanyId                 | Companies             | Id
 PMTemplates                  | CurrentReleasedRevisionId | PMTemplateRevisions   | Id
 PMTemplates                  | ManufacturerId            | Manufacturers         | Id
 PartialDisposals             | AssetId                   | Assets                | Id
 PolicyCategoryDefaults       | AssetCategoryId           | AssetCategories       | Id
 PolicyCategoryDefaults       | BookId                    | Books                 | Id
 PolicyCategoryDefaults       | CompanyId                 | Companies             | Id
 PolicyCategoryDefaults       | DepreciationPolicyId      | DepreciationPolicies  | Id
 ProjectManagers              | CostCenterId              | CostCenters           | Id
 ProjectManagers              | DepartmentId              | Departments           | Id
 PurchaseOrderLines           | AssetId                   | Assets                | Id
 PurchaseOrderLines           | CostCenterId              | CostCenters           | Id
 PurchaseOrderLines           | ExpenseCategoryId         | ItemCategories        | Id
 PurchaseOrderLines           | GlAccountId               | GlAccounts            | Id
 PurchaseOrderLines           | ItemId                    | Items                 | Id
 PurchaseOrderLines           | PurchaseOrderId           | PurchaseOrders        | Id
 PurchaseOrderLines           | ShipToLocationId          | Locations             | Id
 PurchaseOrderReleases        | PurchaseOrderLineId       | PurchaseOrderLines    | Id
 PurchaseOrderReleases        | ShipToLocationId          | Locations             | Id
 PurchaseOrders               | ApprovedById              | Users                 | Id
 PurchaseOrders               | BillToSiteId              | Sites                 | Id
 PurchaseOrders               | CipProjectId              | CipProjects           | Id
 PurchaseOrders               | CompanyId                 | Companies             | Id
 PurchaseOrders               | DefaultShipToLocationId   | Locations             | Id
 PurchaseOrders               | RequestedById             | Users                 | Id
 PurchaseOrders               | ShipToSiteId              | Sites                 | Id
 PurchaseOrders               | VendorId                  | Vendors               | Id
 PurchaseOrders               | WorkOrderId               | MaintenanceEvents     | Id
 PurchaseRequisitionLines     | CostCenterId              | CostCenters           | Id
 PurchaseRequisitionLines     | ExpenseCategoryId         | ItemCategories        | Id
 PurchaseRequisitionLines     | GlAccountId               | GlAccounts            | Id
 PurchaseRequisitionLines     | ItemId                    | Items                 | Id
 PurchaseRequisitionLines     | RequisitionId             | PurchaseRequisitions  | Id
 PurchaseRequisitionLines     | SuggestedVendorId         | Vendors               | Id
 PurchaseRequisitions         | CompanyId                 | Companies             | Id
 PurchaseRequisitions         | ConvertedToPOId           | PurchaseOrders        | Id
 PurchaseRequisitions         | DeliverToLocationId       | Locations             | Id
 PurchaseRequisitions         | DeliverToSiteId           | Sites                 | Id
